LINK	ORIGINAL	TAKEN	UPLOADED	TITLE	PHOTOGRAPHER	PHOTOGRAPHERLOC	DESC	VIEWS	TAG	COCODESC1	COCODESC2	COCODESC3	COCODESC4	COCODESC5	LATITUDE	LONGITUDE	COUNTRY	COCOTAG	COCOTAGDESC	COCOKEY	COCOSTUFF	STUFFDESC	X	Y	Z	AA	AB	AC	AD	AE	AF	AG	AH	AI	AJ	AK	AL	AM	AN	AO	AP	AQ	AR	AS	AT	AU	AV	AW	AX	AY	AZ	BA	BB	BC	BD	BE	BF	BG	BH	BI	BJ	BK	BL	BM	BN	BO	BP	BQ	BR	BS	BT	BU	BV
http://flickr.com/photo.gne?id=5536366901_d00048ac6c_z.jpg	http://farm6.staticflickr.com/5260/5536366901_d00048ac6c_z.jpg	2011-03-18 19:20:34	2011-03-18	Zebra's fighting in Kruger	Kasia Wallis	Manly, Australia		116	africa; 2011; Kruger; 	Two zebras fighting in a cloud of dust	Two zebras fighting in a open area with green bushes.	Two zebras are battling each other on hind legs.	Two zebra having a fight on top of a dry grass field.	Two zebras in a jungle area fighting in a dirt area.	-23.903081	31.519775	South Africa	./database/coco_tag/562121.png	zebra; zebra; zebra; 	NULL	./database/coco_stuff/562121.png	bush; clouds; dirt; grass; hill; plant-other; sky-other; tree; other; 																																																			
http://flickr.com/photo.gne?id=8637472246_0783196c6f_z.jpg	http://farm9.staticflickr.com/8253/8637472246_0783196c6f_z.jpg	2013-03-30 15:41:56	2013-04-10	Polly	Tony Roberts	NULL		84	Spain; Adalucia; Cortijo Los Lobos; horse; 	A big and white horse in a dirt cage. 	A white horse is standing near a riding field.	a white horse that is standing next to a fence	A white horse standing in a corral looking on.	A white horse standing on top of a dirt field.	37.035524	-4.287763	Spain	./database/coco_tag/382088.png	horse; 	NULL	./database/coco_stuff/382088.png	dirt; hill; structural-other; tree; other; 																																																			
http://flickr.com/photo.gne?id=301376641_ad9f966666_z.jpg	http://farm1.staticflickr.com/105/301376641_ad9f966666_z.jpg	2006-11-18 15:44:38	2006-11-19	Caswell surfers	delarge	Brighton, UK	Locals hit the chilly breaks - Caswell Bay, South Wales	320	surf; surfers; sunbeam; wales; caswell; caswell bay; surfboard; clouds; 	A group of people walking on top of a beach.	The people have surfboards and are on the beach.	Surboarders are in the water and waiting on the shore.	Surfers stand with surfboards on a beach for the early morning sunrise.	Beach full of surfers inside and outside of the water.	51.567894	-4.031982	United Kingdom	./database/coco_tag/515445.png	person; person; person; surfboard; surfboard; person; person; 	./database/coco_key/515445.png	./database/coco_stuff/515445.png	clouds; sand; sea; other; 																																																			
http://flickr.com/photo.gne?id=3427794620_9db24fe462_z.jpg	http://farm4.staticflickr.com/3317/3427794620_9db24fe462_z.jpg	2009-02-01 23:25:52	2009-04-09	Supplies in a delivery and operating room	World Bank Photo Collection	NULL	Supplies in a delivery and operating room, Pokhara Regional Hospital. Nepal. Photo: Simone D. McCourtie / World Bank..Photo ID: SDM-NP-106 World Bank	8205	Asia; Nepal; Medical; Ward; Room; Bed; Table; Windows; Sunlight; Shadow; Gloves; Latex; Hospital; South Asia; Health; World Bank; 	A couple of windows sitting inside of a room.	a room with some big window on the side of it 	The older hospital room looks like it could be remodeled.	An old doctors office with two windows with curatins.	An assortment of rags hang on a metal rack.	28.221524	84.000091	Nepal	./database/coco_tag/347693.png	bed; bed; 	NULL	./database/coco_stuff/347693.png	curtain; floor-other; furniture-other; metal; plastic; table; textile-other; wall-concrete; window-other; other; 																																																			
http://flickr.com/photo.gne?id=8037209348_6491cf571e_z.jpg	http://farm9.staticflickr.com/8030/8037209348_6491cf571e_z.jpg	2012-09-29 15:39:53	2012-09-29	Birthday cake!	miguelphotobooth	NULL	  <a href="http://posterous.com" rel="noreferrer nofollow">Posted via email</a> from <a href="http://miguelb.posterous.com/birthday-cake" rel="noreferrer nofollow">Miguel's posterous</a>  	64		A baby in plaid shirt eating a frosted cake.	The young is enjoying his cake so much its all over him. 	A toddler eats cake with his hands in his high chair.	A toddler is getting messy while eating his cake. 	Baby boy at the table eating cake frosting off his hand.	54.535666	-128.594667	Canada	./database/coco_tag/321214.png	person; cake; chair; 	./database/coco_key/321214.png	./database/coco_stuff/321214.png	food-other; furniture-other; paper; table; wall-concrete; other; 																																																			
http://flickr.com/photo.gne?id=4238303492_4d67f273f5_z.jpg	http://farm3.staticflickr.com/2777/4238303492_4d67f273f5_z.jpg	1992-01-01 00:00:00	2008-01-02	In the Cave of AliBaba & 40 Thieves	voyageAnatolia.blogspot.com	NULL	<b>Open Sesame, Open!</b>..Pottery inside cave shop at <a href="http://voyageanatolia.blogspot.com/search?q=cappadocia&amp;max-results=6" rel="noreferrer nofollow">Cappadocia</a>..Read story of <a href="http://ancient-anatolia.blogspot.com/2009/11/juliopolis-of-bithynia-secunda.html" rel="noreferrer nofollow">Ancient City of Brigand King Cleon of Gordiucome - Juliopolis</a>...<a href="http://voyageAnatolia.blogspot.com" rel="noreferrer nofollow">voyageAnatolia.blogspot.com</a>.<a href="http://ancient-anatolia.blogspot.com" rel="noreferrer nofollow">ancient-anatolia.blogspot.com</a>	1095	voyageAnatolia; cappadocia; cave; pottery; shop; plates; ceramic; porcelaine; fine; vases; travel; turkey; open; sesame; simsim; close; 1001; nights; aladdin; alibaba; ali; baba; forty; thieves; pots; containers; mustafa; morgiana; kassim; jars; 	A vendor has lots of different vases for sale.	A view of a bunch of pottery at a very old store.	People in a shop looking at a wide variety of pottery.	A family looking at vases and plates in a store.	Various pots and plates displayed next to a woman.	38.718898	34.847301	Turkey	./database/coco_tag/434230.png	person; person; person; person; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; bowl; bowl; vase; bowl; vase; 	./database/coco_key/434230.png	./database/coco_stuff/434230.png	floor-other; light; wall-other; wall-stone; other; 																																																			
http://flickr.com/photo.gne?id=8751712539_97c6a26a7a_z.jpg	http://farm6.staticflickr.com/5323/8751712539_97c6a26a7a_z.jpg	2013-05-13 15:00:36	2013-05-19	Baseball at the Cuban national stadium	gpparker	Lexington, MA, USA	Industriales v. Isla de la Juventud	241	Cuba; Havana; baseball; deCordova; travel; 	A baseball player holding a bat next to home plate.	A batter, catcher and umpire in a baseball game with man recording.	some baseball players are playing baseball and a camera man	a couple of players at a baseball game	Batter taking swing at ball during televised baseball game.	23.118772	-82.376389	Cuba	./database/coco_tag/383384.png	person; person; person; person; baseball bat; baseball glove; person; person; sports ball; person; person; person; 	./database/coco_key/383384.png	./database/coco_stuff/383384.png	building-other; plastic; playingfield; wall-panel; other; 																																																			
http://flickr.com/photo.gne?id=2671788175_7f29831688_z.jpg	http://farm4.staticflickr.com/3125/2671788175_7f29831688_z.jpg	2008-07-15 14:27:35	2008-07-15	Cellphones	essny	NULL	Trying to capture David Wright.	381	mlb; baseball; all-star; all-star parade; parade; nyc; david wright; mets; new york mets; ny mets; baseball player; mlb all-star; mlb all-star parade; cellphones; major league baseball; 	A couple of people holding up cell phones side by side.	A crowd of people holding their cameras up taking pictures.	THERE ARE PEOPLE HOLDING CAMERA PHONES IN THERE HANDS	People in an audience taking pictures with their cell phones.	People at a public event using cell phones to take pictures of the event.	40.756992	-73.982559	United States	./database/coco_tag/326541.png	cell phone; cell phone; person; person; person; person; car; person; person; 	./database/coco_key/326541.png	./database/coco_stuff/326541.png	building-other; clothes; plastic; wall-concrete; window-other; other; 																																																			
http://flickr.com/photo.gne?id=5771988584_c939246254_z.jpg	http://farm6.staticflickr.com/5261/5771988584_c939246254_z.jpg	2011-05-29 07:24:25	2011-05-29	Vase	John Blower	Teddington, UK		220	flower; flowers; tulip; tulips; vase; oakhurst; close; teddington; middx; middlesex; may; 2011; 	A vase filled with red and white flowers on top of a table.	A tall vase with red and white tulips in water.	Bunch of flowers sitting in vase filled with water and rocks on bottom	A vase is filled with a bouquet of tulips. 	A vase of flowers on a dining table.	51.427106	-0.343181	United Kingdom	./database/coco_tag/550426.png	vase; 	NULL	./database/coco_stuff/550426.png	flower; leaves; table; wall-panel; window-other; other; 																																																			
http://flickr.com/photo.gne?id=8713396144_ea7d431000_z.jpg	http://farm9.staticflickr.com/8255/8713396144_ea7d431000_z.jpg	1988-11-25 18:25:56	2013-05-06	LC AML Poppy in kitchen of 210 Kelton Ave house in San Carlos on Thanksgiving 11-88	George Lamson	NULL		135		A woman standing at a kitchen counter with a child and a dog is behind her.	An older image of a toddler, dog, and adult doing dishes. 	An adult is cooking at the kitchen counter near a baby and a dog.	a yellow lap laying in a kitchen and looking at a little kid 	A small child is in the kitchen with an adult and dog.	37.487533	-122.253053	United States	./database/coco_tag/494869.png	dog; person; spoon; bowl; bowl; bottle; bowl; bowl; person; 	./database/coco_key/494869.png	./database/coco_stuff/494869.png	cabinet; clothes; counter; floor-tile; food-other; furniture-other; light; metal; paper; plastic; wall-other; wall-tile; window-other; other; 																																																			
http://flickr.com/photo.gne?id=8505307842_465524a6a6_z.jpg	http://farm9.staticflickr.com/8104/8505307842_465524a6a6_z.jpg	1982-07-15 18:24:31	2013-02-24	GL and Poppy in kitchen at Poirier house in Oakland 7-82	George Lamson	NULL		39		A man standing next to a dog on the ground.	A man is at a kitchen counter by a dog.	An man standing in a kitchen with a small puppy.	there is a small puppy on the kitchen floor	A man in the kitchen standing with his dog.	37.847266	-122.267206	United States	./database/coco_tag/329219.png	dog; person; knife; cup; cup; fork; spoon; spoon; cup; cup; cup; cup; cup; cup; cup; sink; spoon; cup; cup; cup; cup; 	./database/coco_key/329219.png	./database/coco_stuff/329219.png	cabinet; ceiling-other; clothes; curtain; floor-tile; furniture-other; wall-concrete; wall-tile; window-other; other; 																																																			
http://flickr.com/photo.gne?id=34251540_bec994ec35_z.jpg	http://farm1.staticflickr.com/22/34251540_bec994ec35_z.jpg	2004-07-16 16:30:00	2005-08-15	Horse and cart navigating the roundabout, Konya, Turkey	mia!	NULL	Horse and cart navigating the roundabout with minibuses, cars, vans..CIMG1348	710	Turkey; July; 2004; Konya; Catalhoyuk 2004; Çatalhöyük; Catalhoyuk; Konya flickr; cart; horse; dolmus; minivan; van; car; merve; roundabout; 	Cars, truck and carriages are traveling on the road	A horse drawn carriage among several other motor vehicles on a road.	A horse and cart are stopped on a busy street.	Several vehicles and a horse drawn cart pull up outside of a building.	a few cars that are parked out on a road	37.881221	32.482194	Turkey	./database/coco_tag/367680.png	horse; car; bus; person; person; person; person; person; truck; person; person; person; truck; person; 	./database/coco_key/367680.png	./database/coco_stuff/367680.png	bush; grass; house; metal; pavement; plant-other; road; roof; sky-other; tree; wall-brick; other; 																																																			
http://flickr.com/photo.gne?id=3895101658_e5b732690a_z.jpg	http://farm3.staticflickr.com/2471/3895101658_e5b732690a_z.jpg	2009-09-05 17:16:23	2009-09-07	My favorite spot	David Wright	Saint Louis, MO, USA	This is my favorite seat in my favorite coffee shop in St. Louis. When I open my coffee shop, every seat will be like this...Project365: 262/365	350	toilet; restroom; coffee; project365; cookie; food; 	A white toilet and cup in a room.	A table with a white cup and a cookie next to a toilet.	A corner of a rest room with a cookie and coffee.	there is a small black table next to a white toilet	A cup and a plate with food on it on a table next to a toilet.	38.63867	-90.307665	United States	./database/coco_tag/487583.png	toilet; cup; 	NULL	./database/coco_stuff/487583.png	floor-other; food-other; furniture-other; metal; textile-other; wall-concrete; other; 																																																			
http://flickr.com/photo.gne?id=6416499731_c12f35483a_z.jpg	http://farm8.staticflickr.com/7151/6416499731_c12f35483a_z.jpg	2010-09-18 07:32:18	2011-11-28	Zebra Warthog Giraffe at Chobe national park in Botswana-01 9-18-10	George Lamson	NULL		61	animal; mammal; giraffe; africa; botswana; long neck; zebra; equine; stripes; 	A field with various wildlife and trees in the background.	A group of zebras in a field by some trees.	The group of zebras are in the field. 	Zebras and wort hogs living together on the plains.	many animals in a field with trees and bushes in the background	-17.84602	24.978061	Namibia	./database/coco_tag/311295.png	zebra; zebra; zebra; giraffe; giraffe; giraffe; giraffe; giraffe; giraffe; zebra; 	NULL	./database/coco_stuff/311295.png	dirt; grass; sky-other; solid-other; tree; other; 																																																			
http://flickr.com/photo.gne?id=4228514131_81f3416db3_z.jpg	http://farm3.staticflickr.com/2556/4228514131_81f3416db3_z.jpg	2009-12-30 11:39:07	2009-12-30	Rusty on the bench	Dan Harrelson	Danville, CA, USA	First time I've seen him do this.	333	rusty; dog; redbone; 	A large brown dog standing on the side of a white wood fence.	A dog standing on a bench with an orange tree in back.	A dog standing on a ledge in front of a lemon tree.	a brown and white dog a fence and a tree	A brown dog standing on a wooden bench near a lemon tree.	37.766999	-121.9835	United States	./database/coco_tag/29393.png	dog; orange; orange; orange; 	NULL	./database/coco_stuff/29393.png	branch; bush; dirt; fence; floor-stone; floor-wood; grass; house; sky-other; tree; wall-concrete; other; 																																																			
http://flickr.com/photo.gne?id=5202284149_e1b057697c_z.jpg	http://farm5.staticflickr.com/4130/5202284149_e1b057697c_z.jpg	2010-11-09 13:12:28	2010-11-23	Waiting in the Rain	B	NULL	Passengers waiting for the bus	57	09.11.10; London; City of Westminster; Aldwych; people; umbrella; 	A group of people standing outside of a bus.	People are standing in the rain alongside a bus.	a black and white picture of people walking in the rain under an umbrella	People are waiting for the bus with umbrellas. 	A bunch of people standing together with some umbrellas.	51.512027	-0.115866	United Kingdom	./database/coco_tag/278848.png	car; bus; person; person; person; umbrella; umbrella; umbrella; person; car; 	./database/coco_key/278848.png	./database/coco_stuff/278848.png	building-other; clothes; metal; pavement; road; sky-other; tree; other; 																																																			
http://flickr.com/photo.gne?id=5712766703_9a63174767_z.jpg	http://farm3.staticflickr.com/2134/5712766703_9a63174767_z.jpg	2011-05-09 13:58:27	2011-05-12	Two Ladies	Jeffrey Pott	Weaverville, USA	A young woman sitting and texting in the Armed Forces memorial in downtown Asheville.	1862	Canon; 40D; Asheville; NC; Downtown; Park; Pack; Square; Woman; Young; Pretty; Beautiful; Texting; Text; Cell; Phone; Sitting; Bench; Long; Hair; 	A statue is sitting on a bench and a woman sits on a cement block.	A woman sitting on a bench next to a statue sitting on a bench.	A woman sitting looking at her phone with an iron cast woman next to her.	A beautiful woman sitting on a bench next to a bronze statue.	A woman sitting on a bench near a statue, checking her phone.	35.595867	-82.549359	United States	./database/coco_tag/295713.png	cell phone; person; person; person; bench; bench; handbag; bench; person; person; person; person; 	./database/coco_key/295713.png	./database/coco_stuff/295713.png	bush; clothes; grass; metal; pavement; plant-other; stairs; textile-other; tree; wall-concrete; water-other; waterdrops; other; 																																																			
http://flickr.com/photo.gne?id=6416553725_b837b8df1b_z.jpg	http://farm7.staticflickr.com/6116/6416553725_b837b8df1b_z.jpg	2010-09-12 07:07:17	2011-11-28	Male Giraffe at Xakanxa area of Moremi game reserve in Botswana-10 9-12-10	George Lamson	NULL		282	animal; mammal; giraffe; africa; long neck; 	A giraffe standing under a leaf filled tree.	A tall giraffe stretches to reach high leaves on a tree.	A giraffe that is standing in the grass.	The giraffe extends upward while eating from the branches of a tree. 	A giraffe reaching up to some tree branches	-19.220598	23.414913	Botswana	./database/coco_tag/223130.png	giraffe; 	NULL	./database/coco_stuff/223130.png	bush; grass; sky-other; tree; wood; other; 																																																			
http://flickr.com/photo.gne?id=4940328039_997e7d2ff4_z.jpg	http://farm5.staticflickr.com/4115/4940328039_997e7d2ff4_z.jpg	2010-08-13 13:50:24	2010-08-30	Long Necks	Alan Witzke	NULL		119	The Wilds; Ohio; Giraffe; 	Two tall giraffes standing next to each other by trees.	Two giraffes nudging over a pole in a forested area	Two giraffes eat from a tall food post in their enclosure.	Giraffes standing in a wooded area, touching heads.	Two giraffe standing in a field next to trees.	39.835893	-81.740512	United States	./database/coco_tag/344059.png	giraffe; giraffe; 	NULL	./database/coco_stuff/344059.png	clouds; dirt; grass; hill; tree; wood; other; 																																																			
http://flickr.com/photo.gne?id=8707217553_ed8fb89032_z.jpg	http://farm9.staticflickr.com/8545/8707217553_ed8fb89032_z.jpg	2012-08-30 18:21:03	2013-05-04	153372	Graham Richardson	Plymouth, England	Dawlish 30 August 2012..<a href="http://loc.alize.us/#/flickr:8707217553" rel="noreferrer nofollow">See where this picture was taken.</a> <a href="http://www.flickr.com/groups/geotagging/discuss/72157594165549916/">[?]</a>	222	p1110977; dawlish; class153; train; geo:lat=50.587512870167615; geo:lon=-3.4540119767189026; geotagged; 	A couple of people that are standing near a train.	A train is traveling on the railroad alone.	two people waking past a black and yellow train car	A trolley train is traveling on a track along the beach. 	Two people walking along a side walk next to a train on the tracks.	50.587512	-3.454011	United Kingdom	./database/coco_tag/566524.png	train; person; person; person; person; person; person; 	./database/coco_key/566524.png	./database/coco_stuff/566524.png	fence; grass; ground-other; hill; mountain; pavement; railroad; sand; sea; sky-other; wall-stone; other; 																																																			
http://flickr.com/photo.gne?id=7535177488_ac1b53c80f_z.jpg	http://farm9.staticflickr.com/8012/7535177488_ac1b53c80f_z.jpg	2012-07-08 11:50:20	2012-07-09	1947 Nash truck HDR	George Thomas	Prescott, Michigan, USA	2012 Manistee, MI car show	691	1947; 2012; CS5; Canon; Canon 5D; EF 17-40mm f/4L USM; HDR; Lab Color; Manistee; Michigan; Nash; Photomatix; Photomatix 4.0; Smörgåsbord; Summer; car show; green; lab; truck; upnorth; 	An older pickup truck with decorative murals painted on.	an antique green pickup truck is parked in the grass.	Truck viewed from the back with vans and trucks visible in the background of the image.	A truck painted green with designs parked by other vehicles.	A photo of a green truck parked in grass.	44.255408	-86.330502	United States	./database/coco_tag/338428.png	bus; truck; truck; truck; 	NULL	./database/coco_stuff/338428.png	grass; sky-other; tree; other; 																																																			
