LINK	ORIGINAL	TAKEN	UPLOADED	TITLE	PHOTOGRAPHER	PHOTOGRAPHERLAT	PHOTOGRAPHERLON	PHOTOGRAPHERLOC	DESC	VIEWS	TAG	COCODESC1	COCODESC2	COCODESC3	COCODESC4	COCODESC5	LATITUDE	LONGITUDE	COUNTRY	CITY	COCOTAG	COCOTAGDESC	COCOKEY	COCOSTUFF	STUFFDESC	AA	AB	AC	AD	AE	AF	AG	AH	AI	AJ	AK	AL	AM	AN	AO	AP	AQ	AR	AS	AT	AU	AV	AW	AX	AY	AZ	BA	BB	BC	BD	BE	BF
http://flickr.com/photo.gne?id=3427794620_9db24fe462_z.jpg	http://farm4.staticflickr.com/3317/3427794620_9db24fe462_z.jpg	2009-02-01 23:25:52	2009-04-09	Supplies in a delivery and operating room	World Bank Photo Collection	NULL	NULL	NULL	Supplies in a delivery and operating room, Pokhara Regional Hospital. Nepal. Photo: Simone D. McCourtie / World Bank..Photo ID: SDM-NP-106 World Bank	8234	Asia; Nepal; Medical; Ward; Room; Bed; Table; Windows; Sunlight; Shadow; Gloves; Latex; Hospital; South Asia; Health; World Bank; 	A couple of windows sitting inside of a room.	a room with some big window on the side of it 	The older hospital room looks like it could be remodeled.	An old doctors office with two windows with curatins.	An assortment of rags hang on a metal rack.	28.221524	84.000091	Nepal	Pokhara	./database/coco_tag/347693.png	bed; bed; 	NULL	./database/coco_stuff/347693.png	curtain; floor-other; furniture-other; metal; plastic; table; textile-other; wall-concrete; window-other; other; 																																
http://flickr.com/photo.gne?id=8037209348_6491cf571e_z.jpg	http://farm9.staticflickr.com/8030/8037209348_6491cf571e_z.jpg	2012-09-29 15:39:53	2012-09-29	Birthday cake!	miguelphotobooth	NULL	NULL	NULL	  <a href="http://posterous.com" rel="noreferrer nofollow">Posted via email</a> from <a href="http://miguelb.posterous.com/birthday-cake" rel="noreferrer nofollow">Miguel's posterous</a>  	64		A baby in plaid shirt eating a frosted cake.	The young is enjoying his cake so much its all over him. 	A toddler eats cake with his hands in his high chair.	A toddler is getting messy while eating his cake. 	Baby boy at the table eating cake frosting off his hand.	54.535666	-128.594667	Canada	Terrace	./database/coco_tag/321214.png	person; cake; chair; 	./database/coco_key/321214.png	./database/coco_stuff/321214.png	food-other; furniture-other; paper; table; wall-concrete; other; 																																
http://flickr.com/photo.gne?id=4238303492_4d67f273f5_z.jpg	http://farm3.staticflickr.com/2777/4238303492_4d67f273f5_z.jpg	1992-01-01 00:00:00	2008-01-02	In the Cave of AliBaba & 40 Thieves	voyageAnatolia.blogspot.com	NULL	NULL	NULL	<b>Open Sesame, Open!</b>..Pottery inside cave shop at <a href="http://voyageanatolia.blogspot.com/search?q=cappadocia&amp;max-results=6" rel="noreferrer nofollow">Cappadocia</a>..Read story of <a href="http://ancient-anatolia.blogspot.com/2009/11/juliopolis-of-bithynia-secunda.html" rel="noreferrer nofollow">Ancient City of Brigand King Cleon of Gordiucome - Juliopolis</a>...<a href="http://voyageAnatolia.blogspot.com" rel="noreferrer nofollow">voyageAnatolia.blogspot.com</a>.<a href="http://ancient-anatolia.blogspot.com" rel="noreferrer nofollow">ancient-anatolia.blogspot.com</a>	1095	voyageAnatolia; cappadocia; cave; pottery; shop; plates; ceramic; porcelaine; fine; vases; travel; turkey; open; sesame; simsim; close; 1001; nights; aladdin; alibaba; ali; baba; forty; thieves; pots; containers; mustafa; morgiana; kassim; jars; 	A vendor has lots of different vases for sale.	A view of a bunch of pottery at a very old store.	People in a shop looking at a wide variety of pottery.	A family looking at vases and plates in a store.	Various pots and plates displayed next to a woman.	38.718898	34.847301	Turkey	Avanos	./database/coco_tag/434230.png	person; person; person; person; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; vase; bowl; bowl; vase; bowl; vase; 	./database/coco_key/434230.png	./database/coco_stuff/434230.png	floor-other; light; wall-other; wall-stone; other; 																																
http://flickr.com/photo.gne?id=8751712539_97c6a26a7a_z.jpg	http://farm6.staticflickr.com/5323/8751712539_97c6a26a7a_z.jpg	2013-05-13 15:00:36	2013-05-19	Baseball at the Cuban national stadium	gpparker	42.4473175	-71.2245003	Lexington, USA	Industriales v. Isla de la Juventud	241	Cuba; Havana; baseball; deCordova; travel; 	A baseball player holding a bat next to home plate.	A batter, catcher and umpire in a baseball game with man recording.	some baseball players are playing baseball and a camera man	a couple of players at a baseball game	Batter taking swing at ball during televised baseball game.	23.118772	-82.376389	Cuba	Havana	./database/coco_tag/383384.png	person; person; person; person; baseball bat; baseball glove; person; person; sports ball; person; person; person; 	./database/coco_key/383384.png	./database/coco_stuff/383384.png	building-other; plastic; playingfield; wall-panel; other; 																																
http://flickr.com/photo.gne?id=2671788175_7f29831688_z.jpg	http://farm4.staticflickr.com/3125/2671788175_7f29831688_z.jpg	2008-07-15 14:27:35	2008-07-15	Cellphones	essny	NULL	NULL	NULL	Trying to capture David Wright.	382	mlb; baseball; all-star; all-star parade; parade; nyc; david wright; mets; new york mets; ny mets; baseball player; mlb all-star; mlb all-star parade; cellphones; major league baseball; 	A couple of people holding up cell phones side by side.	A crowd of people holding their cameras up taking pictures.	THERE ARE PEOPLE HOLDING CAMERA PHONES IN THERE HANDS	People in an audience taking pictures with their cell phones.	People at a public event using cell phones to take pictures of the event.	40.756992	-73.982559	United States	New York	./database/coco_tag/326541.png	cell phone; cell phone; person; person; person; person; car; person; person; 	./database/coco_key/326541.png	./database/coco_stuff/326541.png	building-other; clothes; plastic; wall-concrete; window-other; other; 																																
http://flickr.com/photo.gne?id=5771988584_c939246254_z.jpg	http://farm6.staticflickr.com/5261/5771988584_c939246254_z.jpg	2011-05-29 07:24:25	2011-05-29	Vase	John Blower	51.4277844	-0.333653	London,United Kingdom	NULL	220	flower; flowers; tulip; tulips; vase; oakhurst; close; teddington; middx; middlesex; may; 2011; 	A vase filled with red and white flowers on top of a table.	A tall vase with red and white tulips in water.	Bunch of flowers sitting in vase filled with water and rocks on bottom	A vase is filled with a bouquet of tulips. 	A vase of flowers on a dining table.	51.427106	-0.343181	United Kingdom	London	./database/coco_tag/550426.png	vase; 	NULL	./database/coco_stuff/550426.png	flower; leaves; table; wall-panel; window-other; other; 																																
http://flickr.com/photo.gne?id=8713396144_ea7d431000_z.jpg	http://farm9.staticflickr.com/8255/8713396144_ea7d431000_z.jpg	1988-11-25 18:25:56	2013-05-06	LC AML Poppy in kitchen of 210 Kelton Ave house in San Carlos on Thanksgiving 11-88	George Lamson	NULL	NULL	NULL	NULL	135		A woman standing at a kitchen counter with a child and a dog is behind her.	An older image of a toddler, dog, and adult doing dishes. 	An adult is cooking at the kitchen counter near a baby and a dog.	a yellow lap laying in a kitchen and looking at a little kid 	A small child is in the kitchen with an adult and dog.	37.487533	-122.253053	United States	San Carlos	./database/coco_tag/494869.png	dog; person; spoon; bowl; bowl; bottle; bowl; bowl; person; 	./database/coco_key/494869.png	./database/coco_stuff/494869.png	cabinet; clothes; counter; floor-tile; food-other; furniture-other; light; metal; paper; plastic; wall-other; wall-tile; window-other; other; 																																
http://flickr.com/photo.gne?id=8505307842_465524a6a6_z.jpg	http://farm9.staticflickr.com/8104/8505307842_465524a6a6_z.jpg	1982-07-15 18:24:31	2013-02-24	GL and Poppy in kitchen at Poirier house in Oakland 7-82	George Lamson	NULL	NULL	NULL	NULL	39		A man standing next to a dog on the ground.	A man is at a kitchen counter by a dog.	An man standing in a kitchen with a small puppy.	there is a small puppy on the kitchen floor	A man in the kitchen standing with his dog.	37.847266	-122.267206	United States	Oakland	./database/coco_tag/329219.png	dog; person; knife; cup; cup; fork; spoon; spoon; cup; cup; cup; cup; cup; cup; cup; sink; spoon; cup; cup; cup; cup; 	./database/coco_key/329219.png	./database/coco_stuff/329219.png	cabinet; ceiling-other; clothes; curtain; floor-tile; furniture-other; wall-concrete; wall-tile; window-other; other; 																																
http://flickr.com/photo.gne?id=34251540_bec994ec35_z.jpg	http://farm1.staticflickr.com/22/34251540_bec994ec35_z.jpg	2004-07-16 16:30:00	2005-08-15	Horse and cart navigating the roundabout, Konya, Turkey	mia!	NULL	NULL	NULL	Horse and cart navigating the roundabout with minibuses, cars, vans..CIMG1348	721	Turkey; July; 2004; Konya; Catalhoyuk 2004; Çatalhöyük; Catalhoyuk; Konya flickr; cart; horse; dolmus; minivan; van; car; merve; roundabout; 	Cars, truck and carriages are traveling on the road	A horse drawn carriage among several other motor vehicles on a road.	A horse and cart are stopped on a busy street.	Several vehicles and a horse drawn cart pull up outside of a building.	a few cars that are parked out on a road	37.881221	32.482194	Turkey	Konya	./database/coco_tag/367680.png	horse; car; bus; person; person; person; person; person; truck; person; person; person; truck; person; 	./database/coco_key/367680.png	./database/coco_stuff/367680.png	bush; grass; house; metal; pavement; plant-other; road; roof; sky-other; tree; wall-brick; other; 																																
http://flickr.com/photo.gne?id=4228514131_81f3416db3_z.jpg	http://farm3.staticflickr.com/2556/4228514131_81f3416db3_z.jpg	2009-12-30 11:39:07	2009-12-30	Rusty on the bench	Dan Harrelson	37.8215929	-121.9999606	Danville, USA	First time I've seen him do this.	337	rusty; dog; redbone; 	A large brown dog standing on the side of a white wood fence.	A dog standing on a bench with an orange tree in back.	A dog standing on a ledge in front of a lemon tree.	a brown and white dog a fence and a tree	A brown dog standing on a wooden bench near a lemon tree.	37.766999	-121.9835	United States	San Ramon	./database/coco_tag/29393.png	dog; orange; orange; orange; 	NULL	./database/coco_stuff/29393.png	branch; bush; dirt; fence; floor-stone; floor-wood; grass; house; sky-other; tree; wall-concrete; other; 																																
http://flickr.com/photo.gne?id=5202284149_e1b057697c_z.jpg	http://farm5.staticflickr.com/4130/5202284149_e1b057697c_z.jpg	2010-11-09 13:12:28	2010-11-23	Waiting in the Rain	B	NULL	NULL	NULL	Passengers waiting for the bus	57	09.11.10; London; City of Westminster; Aldwych; people; umbrella; 	A group of people standing outside of a bus.	People are standing in the rain alongside a bus.	a black and white picture of people walking in the rain under an umbrella	People are waiting for the bus with umbrellas. 	A bunch of people standing together with some umbrellas.	51.512027	-0.115866	United Kingdom	London	./database/coco_tag/278848.png	car; bus; person; person; person; umbrella; umbrella; umbrella; person; car; 	./database/coco_key/278848.png	./database/coco_stuff/278848.png	building-other; clothes; metal; pavement; road; sky-other; tree; other; 																																
http://flickr.com/photo.gne?id=5712766703_9a63174767_z.jpg	http://farm3.staticflickr.com/2134/5712766703_9a63174767_z.jpg	2011-05-09 13:58:27	2011-05-12	Two Ladies	Jeffrey Pott	40.756494	-122.93664627451	Weaverville, USA	A young woman sitting and texting in the Armed Forces memorial in downtown Asheville.	1867	Canon; 40D; Asheville; NC; Downtown; Park; Pack; Square; Woman; Young; Pretty; Beautiful; Texting; Text; Cell; Phone; Sitting; Bench; Long; Hair; 	A statue is sitting on a bench and a woman sits on a cement block.	A woman sitting on a bench next to a statue sitting on a bench.	A woman sitting looking at her phone with an iron cast woman next to her.	A beautiful woman sitting on a bench next to a bronze statue.	A woman sitting on a bench near a statue, checking her phone.	35.595867	-82.549359	United States	Asheville	./database/coco_tag/295713.png	cell phone; person; person; person; bench; bench; handbag; bench; person; person; person; person; 	./database/coco_key/295713.png	./database/coco_stuff/295713.png	bush; clothes; grass; metal; pavement; plant-other; stairs; textile-other; tree; wall-concrete; water-other; waterdrops; other; 																																
http://flickr.com/photo.gne?id=6479798749_fb83fd63db_z.jpg	http://farm8.staticflickr.com/7020/6479798749_fb83fd63db_z.jpg	2011-11-18 14:25:05	2011-12-09	Sun Umbrella	pixculture	37.7792808	-122.4192363	San Francisco,USA	NULL	431	Australia; Beach; Birthday; Bondi; Botanical Gardens; Bronte; Celebration; Cityscapes; Landscapes; NSW; New South Wales; People; Sculptures By the Sea; Sydney; 	A person leaning up against a metal rail while holding a rainbow colored umbrella.	A person is sitting under a colorful umbrella.	A person with a rainbow umbrella looking at the ocean	A person holding a multicolored umbrella looking at a body of water.	an image with a person holding an umbrella	-33.899415	151.275386	Australia	Sydney	./database/coco_tag/360137.png	umbrella; handbag; person; 	./database/coco_key/360137.png	./database/coco_stuff/360137.png	bush; metal; textile-other; water-other; other; 																																
http://flickr.com/photo.gne?id=355302776_1d1215b7c1_z.jpg	http://farm1.staticflickr.com/131/355302776_1d1215b7c1_z.jpg	2007-01-12 17:48:04	2007-01-13	Working with Cat	Michael Coté	30.2711286	-97.7436995	Austin,USA	NULL	259	cote; powerbook; yertle; cats; piedmont; livingroom; tgif; yuh!; 	A man using his laptop computer while a cat sits on his lap.	A man sitting in a chair with a cat and a laptop.	A cat sitting on the man's lap while the man types on the laptop. 	An Apple user and his faithful cat surf the web.	a man using his laptop while his cat looks at the screen	30.341871	-97.722389	United States	Austin	./database/coco_tag/177015.png	cat; couch; laptop; person; couch; refrigerator; 	./database/coco_key/177015.png	./database/coco_stuff/177015.png	blanket; door-stuff; furniture-other; wall-concrete; wall-other; other; 																																
http://flickr.com/photo.gne?id=8185562472_d772716394_z.jpg	http://farm9.staticflickr.com/8199/8185562472_d772716394_z.jpg	2012-11-13 14:19:01	2012-11-14	LC skiing to Forest Service ridge in Royal Gorge area-03 11-13-12	George Lamson	NULL	NULL	NULL	NULL	69	'donner area'; skiing; donner; sierras; sierra nevada; 	A person skiing through a snowy forest with tall trees.	A person in the snow on some skis.	A young woman skiing through a snow covered forest.	A woman is skiing in a snowy forest.	A man is walking in skies in the snow	39.302583	-120.37587	United States	Soda Springs	./database/coco_tag/347265.png	person; skis; 	./database/coco_key/347265.png	./database/coco_stuff/347265.png	branch; clothes; snow; tree; other; 																																
http://flickr.com/photo.gne?id=8662541989_107da95562_z.jpg	http://farm9.staticflickr.com/8241/8662541989_107da95562_z.jpg	2013-04-11 11:03:34	2013-04-19	Ann LC Dick skiing Palisades trail in Royal Gorge area-08 4-13-13	George Lamson	NULL	NULL	NULL	NULL	87	donner area; royalgorge; donner; sierras; sierra nevada; 	Several skiers glide down a hilly landscape covered in snow. 	3 people separated by a short distance skiing on a ski slope	Three people on packed snow trail, two skiing, one walking.	People cross country skiing on a path between trees.	some snow skiers one in a blue jacket the other white	39.309438	-120.405478	United States	Soda Springs	./database/coco_tag/414170.png	person; person; person; skis; skis; skis; backpack; 	./database/coco_key/414170.png	./database/coco_stuff/414170.png	snow; tree; other; 																																
http://flickr.com/photo.gne?id=8321626453_2a93c92a4d_z.jpg	http://farm9.staticflickr.com/8494/8321626453_2a93c92a4d_z.jpg	2012-12-28 13:44:36	2012-12-29	LC skiing at Van Norden Meadow-02 12-28-12	George Lamson	NULL	NULL	NULL	NULL	66	donner area; donner summit valley; donner; summit; valley; sierras; sierra nevada; 	A woman riding skis down a snow covered slope.	A woman skiing down a snowy, tree-lined path.	a woman is wearing a pink and black jacket is sking	A woman on skis sliding down a snowy hill.	A woman skiing on a path by some trees.	39.322127	-120.370684	United States	Soda Springs	./database/coco_tag/118921.png	person; skis; skis; 	./database/coco_key/118921.png	./database/coco_stuff/118921.png	sky-other; snow; tree; other; 																																
http://flickr.com/photo.gne?id=4218308004_67137a2e53_z.jpg	http://farm3.staticflickr.com/2695/4218308004_67137a2e53_z.jpg	2009-12-23 18:08:54	2009-12-27	Snacktime	David Wright	38.6268039	-90.1994097	St. Louis,USA	Henri enjoyed a nice snack at Stumptown in downtown Portland..One Object 365 Days Project: 340/365.365 Toy Project: 340/365	227	Henri; 365toyproject; coffee; oneobject365daysproject; doughnut; Stumptown; 	A table with a napkin, doughnut on a plate, and a cup of coffee.	a donut with a cup of coffee and an ornate napkin holder	A white plate with a donut and napkin sculpture.	A donut is on the table on a white saucer.	A chocolate frosted donut on a plate with a cup of coffee and a penguin napkin holder. 	45.521807	-122.673441	United States	Portland	./database/coco_tag/378605.png	dining table; dining table; cup; donut; 	NULL	./database/coco_stuff/378605.png	table; wall-other; other; 																																
http://flickr.com/photo.gne?id=317343650_bcd1ba28ef_z.jpg	http://farm1.staticflickr.com/136/317343650_bcd1ba28ef_z.jpg	2006-12-08 15:16:03	2006-12-08	Sarah with Loosely Coupled Messaging	Michael Coté	30.2711286	-97.7436995	Austin,USA	NULL	414	sarahvisit; piedmont; sarah; headphone; plantronics; cellphone; cyan; xmax; christmas; christmastree; 	a woman in a blue top with headphones and two cellphones	A woman in blue sweater holding two cellphones while wearing headphones.	A person holding a phone in each hand and wearing a head set in front  of a Christmas tree.	A woman wearing headphones looking at some electronics.	A woman has headphones on and is holding two cell phones.	30.341871	-97.722389	United States	Austin	./database/coco_tag/537991.png	couch; person; cell phone; cell phone; laptop; laptop; couch; 	./database/coco_key/537991.png	./database/coco_stuff/537991.png	cardboard; clothes; curtain; furniture-other; mirror-stuff; plastic; shelf; textile-other; tree; wall-concrete; window-blind; other; 																																
http://flickr.com/photo.gne?id=2973910210_91fbb8bc61_z.jpg	http://farm4.staticflickr.com/3159/2973910210_91fbb8bc61_z.jpg	2008-10-24 16:13:10	2008-10-26	Not a New Zealand Toilet	John Abel	-43.6024739	172.7205727	Lyttelton, New Zealand	Wiggerl was shocked to see the alternative to toilet paper 	449	Thailand; Surat; 	A black plush toy sitting on the lid of a toilet.	A black stuffed animal sitting on top of a toilet in a bathroom stall with blue floor tile. 	a toilet with a teddy bear sitting on the seat .	There is a stuffed animal sitting on the toliet.	This is a stuffed animal on a toilet seat.	9.13591	99.324474	Thailand	Surat Thani	./database/coco_tag/376442.png	toilet; teddy bear; 	NULL	./database/coco_stuff/376442.png	counter; floor-tile; furniture-other; metal; plastic; wall-tile; other; 																																
